usernames,platforms,playtimes,retirement_reasons
PhishyPhucboi,PlayStation 5,,Draconian Tree Sentinel unbeatable. Combat gets a bit boring
PrilDeterjan,PC,,It is pretty hard.
ps2bestconsole,PC,60 Hours,Enjoyed the hell out of it for 50 hours but 10 hours after that I wasn't having fun anymore. I'll give it a chance later
PsychXVI,PC,69 Hours,Liked the game too much to finish it.
RattleSack,PlayStation 5,,"Sold, may rebuy"
Rdriigo,PC,1½ Hours,En algun momento lo retomo
redfield70x7,PlayStation 4,5 Hours,"While so much about the world, setting, and gameplay had me hooked, it’s ultimately still too difficult w/ no options."
reFACADE,PC,35½ Hours,im not even past radahn lol
Reina297,PlayStation 5,62 Hours,Most likely won't come back to it
RodsKaden,PC,343 Hours,Computer can't take it
Rxdeus,PC,67 Hours,"Terrible, most overrated game of all time."
RyanHeals,PC,65 Hours,I just got so bored of this game that I don't even want to play it anymore
Ryroan,PlayStation 5,,Played and completed on PS5 to justify collector's edition purchase ;P
S1NUS,PC,,The saves are gone
Salathar,PC,33 Hours,Where am I? Where to go? Where to where?
Schizzi,,20 Hours,Far too hard. Beating a boss was not worth it.
scud0066,PC,,Preference is for PlayStation 5 with this one. Will go back to it on Steam Deck I'm sure though.
ShadowDoor,PlayStation 5,,Too hard and dark
Shadsan,PC,45½ Hours,Overstays its welcome so much
ShawnR,Xbox Series X/S,,Basically Beat the Game - Was Trolling Malenia When I Fell Off
SirSeul,PC,11 Hours,"A break of 2 months, I'll come back later"
SnakeSteak,PC,72½ Hours,Couldn't beat the giant boss :P
solv33x3,PC,,Stopped at Margit.
SpookyThanatos,Xbox Series X/S,50½ Hours,Decided to wait for DLC (and maybe swap to PC?) before playing again.
starscreamed420,PlayStation 5,30 Hours,"May play again eventually, just too complicated for me."
StigDagerman,PC,43 Hours,Got repetitive
Surehart,PC,15 Mins,Не понравилось
SyNcC23,PC,172 Hours,Retiring before DLC
syncVince,PC,55 Hours,Arrived at Leyndell. Also played a bit of the DLC.
THE_SIZZLE_KING,PlayStation 5,48½ Hours,CBA
TheBrazilian7,PC,85½ Hours,Lost my save files :( - Gonna restart it in the future
thesenate66,PC,,Hiatus
ThisIzLeon,Xbox Series X/S,30 Hours,Will come back to this.
Thranto,PlayStation 5,5 Hours,"Too big , too difficult. Can’t be bothered grinding and smashing my head with a brick"
triplebruin,PC,20 Hours,stop playing
TripleFFFUser,PlayStation 4,8 Hours,Restarting file on the PC version
TURBORACER,PC,122 Hours,blade of miquella
utbies88,PlayStation 4,41 Hours,41 uur
VanTheHusko,PlayStation 5,,"Dropped at Elden Beast, ain't got the patience."
Vascolas007,PC,69 Hours,"The is really good, but it is just so big, I got retired. I wil jump on it someday again."
Venaray,PlayStation 5,40 Hours,Not a fan
victinii,PlayStation 5,,Not my cup of tea
ViniSpark,PlayStation 4,,Last Boss
Vinsaiyan,PlayStation 5,,Pretty cool boss fights stopped at Starscourge Radahn. I don't care about fromsoft games just not my style
Voiced,PC,100 Hours,100%
wchophon,Xbox Series X/S,3 Hours,Too hard
Welc0r,Xbox Series X/S,,I just cant enjoy this game. I think souls games are not meant for me.
Wkffl,,,boring
Yadi12345,PC,,Maybe will continue at some point
zaratti,PC,,I decided to stop my playthrough because I wanted to play other From Software games first.
Zawarudo21,PlayStation 4,200 Hours,100%
ZookyKnight,PlayStation 5,,Got Extremely Titled. Will come back before the DLC drops to try again.
