usernames,platforms,playtimes,retirement_reasons
Vascolas007,PC,69.0,"The is really good, but it is just so big, I got retired. I wil jump on it someday again."
Venaray,PlayStation 5,40.0,Not a fan
victinii,PlayStation 5,0.0,Not my cup of tea
ViniSpark,PlayStation 4,0.0,Last Boss
Vinsaiyan,PlayStation 5,0.0,Pretty cool boss fights stopped at Starscourge Radahn. I don't care about fromsoft games just not my style
Voiced,PC,100.0,100%
wchophon,Xbox Series X/S,3.0,Too hard
Welc0r,Xbox Series X/S,0.0,I just cant enjoy this game. I think souls games are not meant for me.
Yadi12345,PC,0.0,Maybe will continue at some point
zaratti,PC,0.0,I decided to stop my playthrough because I wanted to play other From Software games first.
Zawarudo21,PlayStation 4,200.0,100%
ZookyKnight,PlayStation 5,0.0,Got Extremely Titled. Will come back before the DLC drops to try again.
